price,percentage
790,29.999231370257103
2190,15.117189286418935
1990,16.586288209140932
1795,18.22948577775261
1339,22.884568470743915
2550,13.024613180493464
3150,11.113563351496076
1550,20.589076823855045
570,33.31334501097518
280,38.086768349311434
955,27.6875212349057
690,31.47280130702985
520,34.10350368036352
700,31.32298091176787
730,30.876804261428205
4299,12.954407693439897
470,34.90734791411133
820,29.56783512942567
690,31.47280130702985
1859,17.667231954762087
670,31.77408436527695
840,29.282974748409945
1950,16.90638427725552
1320,23.10323269328741
140,40.55595381098255
690,31.47280130702985
820,29.56783512942567
2530,13.122255041071544
570,33.31334501097518
1870,17.572852697054905
920,28.165430127322203
2250,14.71915857040391
1520,20.90058752089746
1790,18.27435616161455
399,36.07232126271567
1550,20.589076823855045
2290,14.464753211214799
2330,14.219106613215764
980,27.350263409630323
2420,13.698425988319098
499,34.439451356798614
1640,19.68410555174427
2710,12.322307146579394
1530,20.796203199308945
3190,11.056230119083438
1899,17.327209704940095
580,33.156955544820654
470,34.90734791411133
1750,18.638246035679472
2170,15.254245572352314
1740,18.73058706063165
1690,19.200503524008223
2140,15.463935670560218
770,30.289565977016622
290,37.914503628499915
4950,17.204741471091914
2299,14.40871907217376
1760,18.546452433301667
1730,18.823475508158204
2150,15.393491548583206
2450,13.534719386359033
1599,20.090871382612875
2249,14.725630926011384
2070,15.97237235648194
1020,26.817767382656648
3150,11.113563351496076
830,29.42513122763062
199,39.50228784686351
1650,19.586290301048304
1349,22.77027580055914
1570,20.384140138698665
2290,14.464753211214799
619,32.552267249516184
1980,16.66549109230801
470,34.90734791411133
590,33.0011135012405
720,31.024982388967047
3310,10.936782988985911
2030,16.2749509022164
748,30.61146313674572
930,28.02820045127094
780,30.14412496234967
870,28.8597898461942
260,38.432940058657614
1670,19.392302067379504
660,31.925547028262066
299,37.75993342607064
649,32.09278823061911
1330,22.987899920211316
1120,25.524846895428993
1670,19.392302067379504
1600,20.080840780271934
1749,18.647455504158835
349,36.909284562213415
1880,17.48762816556966
1570,20.384140138698665
2690,12.402431484777338
2390,13.867059393448578
1570,20.384140138698665
1090,25.906975104566307
2150,15.393491548583206
1490,21.217025021109286
1450,21.646605604099697
1980,16.66549109230801
1950,16.90638427725552
390,36.221964661975534
1520,20.90058752089746
2430,13.643309698424698
590,33.0011135012405
1340,22.873114569709593
3500,10.908874314486148
1250,23.925889936902713
1189,24.664649232441086
3550,10.934375280922637
1580,20.282492929982045
2349,14.105492782695613
1889,17.411394133534024
430,35.5602769074484
2099,15.758479873681111
570,33.31334501097518
1590,20.1813931438398
2950,11.531610931410242
4790,15.945084998431383
2710,12.322307146579394
929,28.041898784860223
1070,26.164464356863082
1570,20.384140138698665
2690,12.402431484777338
2420,13.698425988319098
1850,17.744944027748545
499,34.439451356798614
1540,20.692366300294808
1620,19.881378320859348
640,32.23011462195544
650,32.07755711382156
1120,25.524846895428993
1030,26.686011932349174
1540,20.692366300294808
1260,23.806725205805968
2780,12.0591157739795
2250,14.71915857040391
3050,11.295216012734201
1550,20.589076823855045
219,39.149437582109904
469,34.923564391542754
2550,13.024613180493464
2229,14.856227625567083
690,31.47280130702985
260,38.432940058657614
1650,19.586290301048304
3099,11.199366163660653
790,29.999231370257103
2430,13.643309698424698
2620,12.700110479563115
2760,12.131576196136145
490,34.58416795288907
3290,10.951216618258378
3320,10.930387308211252
2399,13.815952057576943
1100,25.779051612279492
699,31.337938317278223
2849,11.825935927685382
3060,11.274587345025687
1350,22.75887664178225
1690,19.200503524008223
1770,18.455206253498254
1760,18.546452433301667
230,38.95630329198473
3490,10.905416388921985
729,30.89159744016624
649,32.09278823061911
1089,25.91979756203658
2310,14.340835067066529
2150,15.393491548583206
2290,14.464753211214799
2140,15.463935670560218
1850,17.744944027748545
335,37.146086739206
460,35.06975902858403
1949,16.914498900586135
849,29.155501963412433
1060,26.294030116873035
650,32.07755711382156
250,38.606847047192275
3990,11.74890532074437
749,30.596773968296816
1600,20.080840780271934
279,38.10402492963418
2999,11.408937376192117
740,30.72917355646374
1090,25.906975104566307
2700,12.362095604391175
889,28.594320993541295
450,35.232717565631106
1920,17.152204265372447
2620,12.700110479563115
1120,25.524846895428993
390,36.221964661975534
1890,17.402951056658782
2250,14.71915857040391
810,29.711086453795104
1129,25.41116915930583
700,31.32298091176787
650,32.07755711382156
1350,22.75887664178225
430,35.5602769074484
490,34.58416795288907
1499,21.121576456712948
990,27.216318269025333
4699,15.291173774712675
3480,10.9025058859322
590,33.0011135012405
1590,20.1813931438398
2150,15.393491548583206
2350,14.09956784966252
2099,15.758479873681111
3490,10.905416388921985
1570,20.384140138698665
499,34.439451356798614
2450,13.534719386359033
580,33.156955544820654
3090,11.215985877346398
890,28.58040369092226
2830,11.88754461363952
2720,12.28306611134198
4150,12.307860898199685
2690,12.402431484777338
938,27.918810854683485
2820,11.920764000558762
1020,26.817767382656648
2439,13.594173083820838
1650,19.586290301048304
990,27.216318269025333
1790,18.27435616161455
720,31.024982388967047
499,34.439451356798614
4380,13.35687856540072
899,28.455394307509458
1730,18.823475508158204
1520,20.90058752089746
1180,24.7753708866626
760,30.435554414257947
1490,21.217025021109286
570,33.31334501097518
1500,21.110998431797633
830,29.42513122763062
920,28.165430127322203
350,36.892411177692736
750,30.582090274073654
1229,24.1779177326855
1120,25.524846895428993
690,31.47280130702985
850,29.141365691763653
3090,11.215985877346398
2790,12.023706696762748
699,31.337938317278223
2690,12.402431484777338
4230,12.639891254067741
480,34.74548422221301
4080,12.04607402197005
270,38.25958049269734
580,33.156955544820654
